"movie","tomato_meter","audience_score"
"Spider-Man: Far From Home","90","95"
"Toy Story 4","97","94"
"Crawl","82","75"
"Stuber","42","79"
"Yesterday","63","89"
"Aladdin","57","94"
"Annabelle Comes Home","65","70"
"Midsommar","83","63"
"The Secret Life of Pets 2","59","90"
"Men in Black International","23","66"
"Rocketman","89","88"
"Avengers: Endgame","94","91"
"John Wick: Chapter 3 - Parabellum","90","87"
"Super 30","33","92"
"Child's Play","63","57"
"The Last Black Man in San Francisco","93","84"
"The Farewell","99","87"
"Unplanned","40","91"
"Late Night","79","77"
"Wild Rose","93","88"
"Pavarotti","85","98"
"Bethany Hamilton: Unstoppable","65","95"
"Maiden","98","97"
"Echo In the Canyon","94","92"
"Dark Phoenix","23","64"
"Booksmart","97","77"
"I Got the Hook-Up 2","62",NA
"The Art of Self-Defense","83","63"
"Marianne & Leonard: Words of Love","80","85"
"Ma","54","64"
